hgnc_symbol,nominations,initial_nomination,teams,study,input_data,pharos_class,classification,safety_bucket_definition,abability_bucket_definition,validation_study_details
MAF1,1,"2018","Columbia-Rush","ROSMAP","Genetics, RNA",Tbio,"11: Druggable protein class, no other information: Is a member of a PHAROS druggable class of protein (enzyme, receptor, ion channel, nuclear hormone receptor, kinase) but does not meet any of the criteria above.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","4: Limited evidence that target is a secreted protein, ECM component or cell membrane-bound protein.","not prioritized for experimental validation"
MAP1B,1,"2019","Chang Lab","Mayo, ROSMAP","Genetics, RNA",Tchem,"1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","4: Limited evidence that target is a secreted protein, ECM component or cell membrane-bound protein.",""
MAP2,1,"2019","Chang Lab","Kronos, ROSMAP","Genetics, RNA",Tchem,"1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","5: Clinical data with evidence of intolerable safety profile/adverse drug reactions in the desired modality and with target engagement. Drug for target withdrawn on those grounds.","7: Dark target. Paucity of biological knowledge means progress will be difficult. Encourage others to investigate.",""
MAP4,1,"2018","Emory","ACT, BLSA","Protein",Tbio,"13: Unknown: There is no information on ligands or structure in any of the categories above.","5: Clinical data with evidence of intolerable safety profile/adverse drug reactions in the desired modality and with target engagement. Drug for target withdrawn on those grounds.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","not prioritized for experimental validation"
MAP7,1,"2018","Emory","ACT, BLSA","Protein",Tbio,"13: Unknown: There is no information on ligands or structure in any of the categories above.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","5: Protein located in the cytosol. Not practically accessible to antibody-based therapies, but may be more easily accessible to other modalities.","not prioritized for experimental validation"
MAPK1,1,"2018","Emory","ACT, BLSA","Protein",Tchem,"1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","5: Clinical data with evidence of intolerable safety profile/adverse drug reactions in the desired modality and with target engagement. Drug for target withdrawn on those grounds.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","validation studies ongoing"
MAPK9,1,"2018","MSSM","MSBB","Genetics, RNA",Tchem,"1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","not prioritized for experimental validation"
MARK4,1,"2018","Duke","ADNI","Genetics, Metabolome",Tchem,"1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","not prioritized for experimental validation"
MBD3,1,"2018","Mayo-UFL-ISB","APP Mice","Protein",Tbio,"2: Targetable by homology: >=40% homologous to a protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","6: Protein located in intracellular compartment.","not prioritized for experimental validation"
MDH1,1,"2018","MSSM","MSBB","Genetics, RNA",Tbio,"3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","5: Clinical data with evidence of intolerable safety profile/adverse drug reactions in the desired modality and with target engagement. Drug for target withdrawn on those grounds.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","not prioritized for experimental validation"
MDH2,1,"2019","Chang Lab","Kronos, Mayo","Genetics, RNA",Tchem,"1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","4: Limited evidence that target is a secreted protein, ECM component or cell membrane-bound protein.",""
MFF,1,"2018","Duke","ADNI","Genetics, Metabolome",Tbio,"13: Unknown: There is no information on ligands or structure in any of the categories above.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","not prioritized for experimental validation"
MGST3,1,"2018","Duke","ADNI","Genetics, Metabolome",Tbio,"11: Druggable protein class, no other information: Is a member of a PHAROS druggable class of protein (enzyme, receptor, ion channel, nuclear hormone receptor, kinase) but does not meet any of the criteria above.","5: Clinical data with evidence of intolerable safety profile/adverse drug reactions in the desired modality and with target engagement. Drug for target withdrawn on those grounds.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","not prioritized for experimental validation"
MMP17,1,"2018","Duke","ADNI","Genetics, Metabolome",Tchem,"1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","1: Secreted protein. Highly accessible to antibody-based therapies.","not prioritized for experimental validation"
MOBP,1,"2018","Mayo-UFL-ISB","Mayo","RNA",Tbio,"13: Unknown: There is no information on ligands or structure in any of the categories above.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","6: Protein located in intracellular compartment.","not prioritized for experimental validation"
MOG,1,"2018","Mayo-UFL-ISB","Mayo","RNA",No value,"No value","No value","No value","not prioritized for experimental validation"
MRPL1,1,"2018","Columbia-Rush","ROSMAP","Clinical, Protein",Tdark,"7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","4: Limited evidence that target is a secreted protein, ECM component or cell membrane-bound protein.","not prioritized for experimental validation"
MRPL11,1,"2018","Columbia-Rush","ROSMAP","Clinical, Protein",Tdark,"7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","6: Protein located in intracellular compartment.","not prioritized for experimental validation"
MRPL12,1,"2018","Columbia-Rush","ROSMAP","Clinical, Protein",Tbio,"7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","6: Protein located in intracellular compartment.","not prioritized for experimental validation"
MRPL14,1,"2018","Columbia-Rush","ROSMAP","Clinical, Protein",Tdark,"3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","4: Limited evidence that target is a secreted protein, ECM component or cell membrane-bound protein.","not prioritized for experimental validation"
MRPL15,1,"2018","Columbia-Rush","ROSMAP","Clinical, Protein",Tbio,"3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","7: Dark target. Paucity of biological knowledge means progress will be difficult. Encourage others to investigate.","not prioritized for experimental validation"
MRPL16,1,"2018","Columbia-Rush","ROSMAP","Clinical, Protein",Tdark,"3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","7: Dark target. Paucity of biological knowledge means progress will be difficult. Encourage others to investigate.","not prioritized for experimental validation"
MRPL17,1,"2018","Columbia-Rush","ROSMAP","Clinical, Protein",Tdark,"7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","7: Dark target. Paucity of biological knowledge means progress will be difficult. Encourage others to investigate.","not prioritized for experimental validation"
MRPL30,1,"2018","Columbia-Rush","ROSMAP","Clinical, Protein",Tdark,"7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","7: Dark target. Paucity of biological knowledge means progress will be difficult. Encourage others to investigate.","not prioritized for experimental validation"
MRPL37,1,"2018","Columbia-Rush","ROSMAP","Clinical, Protein",Tdark,"7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","4: Limited evidence that target is a secreted protein, ECM component or cell membrane-bound protein.","not prioritized for experimental validation"
MRPL39,1,"2018","Columbia-Rush","ROSMAP","Clinical, Protein",Tdark,"3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","7: Dark target. Paucity of biological knowledge means progress will be difficult. Encourage others to investigate.","not prioritized for experimental validation"
MRPL40,1,"2018","Columbia-Rush","ROSMAP","Clinical, Protein",Tbio,"7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","6: Protein located in intracellular compartment.","not prioritized for experimental validation"
MRPL43,1,"2018","Columbia-Rush","ROSMAP","Clinical, Protein",Tdark,"7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","6: Protein located in intracellular compartment.","not prioritized for experimental validation"
MRPL44,1,"2018","Columbia-Rush","ROSMAP","Clinical, Protein",Tbio,"7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","not prioritized for experimental validation"
MRPL46,1,"2018","Columbia-Rush","ROSMAP","Clinical, Protein",Tdark,"3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","4: Limited evidence that target is a secreted protein, ECM component or cell membrane-bound protein.","not prioritized for experimental validation"
MRPL48,1,"2018","Columbia-Rush","ROSMAP","Clinical, Protein",Tdark,"3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","7: Dark target. Paucity of biological knowledge means progress will be difficult. Encourage others to investigate.","not prioritized for experimental validation"
MRPL49,1,"2018","Columbia-Rush","ROSMAP","Clinical, Protein",Tbio,"7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","7: Dark target. Paucity of biological knowledge means progress will be difficult. Encourage others to investigate.","not prioritized for experimental validation"
MRPL50,1,"2018","Columbia-Rush","ROSMAP","Clinical, Protein",Tdark,"7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","7: Dark target. Paucity of biological knowledge means progress will be difficult. Encourage others to investigate.","not prioritized for experimental validation"
MRPL53,1,"2018","Columbia-Rush","ROSMAP","Clinical, Protein",Tdark,"7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","6: Protein located in intracellular compartment.","not prioritized for experimental validation"
MRPL57,1,"2018","Columbia-Rush","ROSMAP","Clinical, Protein",Tdark,"7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","2: No major issues found from gene expression, genetic or pharmacological profiling, but has not been extensively tested in humans.","6: Protein located in intracellular compartment.","not prioritized for experimental validation"
MRPL58,1,"2018","Columbia-Rush","ROSMAP","Clinical, Protein",Tbio,"11: Druggable protein class, no other information: Is a member of a PHAROS druggable class of protein (enzyme, receptor, ion channel, nuclear hormone receptor, kinase) but does not meet any of the criteria above.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","6: Protein located in intracellular compartment.","not prioritized for experimental validation"
MRPS15,1,"2018","Columbia-Rush","ROSMAP","Clinical, Protein",Tdark,"7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","6: Protein located in intracellular compartment.","not prioritized for experimental validation"
MRPS16,1,"2018","Columbia-Rush","ROSMAP","Clinical, Protein",Tbio,"7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","5: Protein located in the cytosol. Not practically accessible to antibody-based therapies, but may be more easily accessible to other modalities.","not prioritized for experimental validation"
MRPS2,1,"2018","Columbia-Rush","ROSMAP","Clinical, Protein",Tdark,"3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","6: Protein located in intracellular compartment.","not prioritized for experimental validation"
MRPS22,1,"2018","Columbia-Rush","ROSMAP","Clinical, Protein",Tbio,"7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","1: Secreted protein. Highly accessible to antibody-based therapies.","not prioritized for experimental validation"
MRPS23,1,"2018","Columbia-Rush","ROSMAP","Clinical, Protein",Tdark,"3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","6: Protein located in intracellular compartment.","not prioritized for experimental validation"
MS4A2,1,"2018","Duke","ADNI","Genetics, Metabolome",Tbio,"10: Potentially small molecule druggable by family (low activity ligand): is a member of a gene family which has a protein member with a ligand which does not meet TCRD activity criteria.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","not prioritized for experimental validation"
MS4A4A,1,"2018","Mayo-UFL-ISB","Mayo","RNA",Tbio,"10: Potentially small molecule druggable by family (low activity ligand): is a member of a gene family which has a protein member with a ligand which does not meet TCRD activity criteria.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","not prioritized for experimental validation"
MS4A6A,1,"2018","Mayo-UFL-ISB","Mayo","RNA",Tbio,"10: Potentially small molecule druggable by family (low activity ligand): is a member of a gene family which has a protein member with a ligand which does not meet TCRD activity criteria.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","not prioritized for experimental validation"
MTMR10,1,"2019","Chang Lab","Kronos, ROSMAP","Genetics, RNA",Tdark,"7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","4: Limited evidence that target is a secreted protein, ECM component or cell membrane-bound protein.",""
MYO1D,1,"2019","Chang Lab","Kronos, MSBB","Genetics, RNA",Tbio,"7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","5: Protein located in the cytosol. Not practically accessible to antibody-based therapies, but may be more easily accessible to other modalities.",""
MYRF,1,"2018","Mayo-UFL-ISB","Mayo","RNA",Tbio,"11: Druggable protein class, no other information: Is a member of a PHAROS druggable class of protein (enzyme, receptor, ion channel, nuclear hormone receptor, kinase) but does not meet any of the criteria above.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","not prioritized for experimental validation"
N4BP3,1,"2018","Duke","ADNI","Genetics, Metabolome",Tdark,"13: Unknown: There is no information on ligands or structure in any of the categories above.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","6: Protein located in intracellular compartment.","not prioritized for experimental validation"
NDUFA11,1,"2019","Chang Lab","MSBB","Genetics, Protein",Tclin,"1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","1: Clinical data, evidence of tolerable safety profile in desired modality; target has a drug in phase IV in the appropriate modality, with good safety profile.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.",""
NDUFA13,1,"2019","Chang Lab","Mayo, ROSMAP","Genetics, RNA",Tclin,"1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","1: Clinical data, evidence of tolerable safety profile in desired modality; target has a drug in phase IV in the appropriate modality, with good safety profile.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.",""
NDUFA9,1,"2018","Emory","ACT, BLSA","Protein",Tclin,"1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","1: Clinical data, evidence of tolerable safety profile in desired modality; target has a drug in phase IV in the appropriate modality, with good safety profile.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","not prioritized for experimental validation"
NDUFS1,1,"2018","Emory","ACT, BLSA","Protein",Tclin,"1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","1: Clinical data, evidence of tolerable safety profile in desired modality; target has a drug in phase IV in the appropriate modality, with good safety profile.","6: Protein located in intracellular compartment.","not prioritized for experimental validation"
NDUFS2,1,"2018","Emory","ACT, BLSA","Protein",Tclin,"1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","1: Clinical data, evidence of tolerable safety profile in desired modality; target has a drug in phase IV in the appropriate modality, with good safety profile.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","not prioritized for experimental validation"
NDUFS7,1,"2018","Emory","ACT, BLSA","Protein",Tclin,"1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","1: Clinical data, evidence of tolerable safety profile in desired modality; target has a drug in phase IV in the appropriate modality, with good safety profile.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","not prioritized for experimental validation"
NDUFV1,1,"2018","Emory","ACT, BLSA","Protein",Tclin,"1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","1: Clinical data, evidence of tolerable safety profile in desired modality; target has a drug in phase IV in the appropriate modality, with good safety profile.","1: Secreted protein. Highly accessible to antibody-based therapies.","not prioritized for experimental validation"
NEFL,1,"2018","MSSM","MSBB","Genetics, RNA",Tbio,"7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","6: Protein located in intracellular compartment.","not prioritized for experimental validation"
NEUROD6,1,"2018","Mayo-UFL-ISB","Mayo","RNA",Tbio,"3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","7: Dark target. Paucity of biological knowledge means progress will be difficult. Encourage others to investigate.","not prioritized for experimental validation"
NFKBIA,1,"2018","Mayo-UFL-ISB","Mayo","RNA",Tchem,"1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","5: Clinical data with evidence of intolerable safety profile/adverse drug reactions in the desired modality and with target engagement. Drug for target withdrawn on those grounds.","4: Limited evidence that target is a secreted protein, ECM component or cell membrane-bound protein.","not prioritized for experimental validation"
NFKBIZ,1,"2018","Mayo-UFL-ISB","Mayo","RNA",Tbio,"7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","2: No major issues found from gene expression, genetic or pharmacological profiling, but has not been extensively tested in humans.","6: Protein located in intracellular compartment.","not prioritized for experimental validation"
NFS1,1,"2018","Columbia-Rush","ROSMAP","Clinical, Protein",Tbio,"3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","5: Clinical data with evidence of intolerable safety profile/adverse drug reactions in the desired modality and with target engagement. Drug for target withdrawn on those grounds.","4: Limited evidence that target is a secreted protein, ECM component or cell membrane-bound protein.","not prioritized for experimental validation"
NHSL1,1,"2018","MSSM","MSBB","Genetics, RNA",Tbio,"13: Unknown: There is no information on ligands or structure in any of the categories above.","2: No major issues found from gene expression, genetic or pharmacological profiling, but has not been extensively tested in humans.","6: Protein located in intracellular compartment.","not prioritized for experimental validation"
NIPSNAP2,1,"2018","Duke","ADNI","Genetics, Metabolome",Tbio,"13: Unknown: There is no information on ligands or structure in any of the categories above.","2: No major issues found from gene expression, genetic or pharmacological profiling, but has not been extensively tested in humans.","4: Limited evidence that target is a secreted protein, ECM component or cell membrane-bound protein.","not prioritized for experimental validation"
NMNAT2,1,"2018","MSSM","MSBB","Genetics, RNA",Tbio,"11: Druggable protein class, no other information: Is a member of a PHAROS druggable class of protein (enzyme, receptor, ion channel, nuclear hormone receptor, kinase) but does not meet any of the criteria above.","2: No major issues found from gene expression, genetic or pharmacological profiling, but has not been extensively tested in humans.","7: Dark target. Paucity of biological knowledge means progress will be difficult. Encourage others to investigate.","not prioritized for experimental validation"
NONO,1,"2018","Emory","ACT, BLSA","Protein",Tbio,"3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","6: Protein located in intracellular compartment.","not prioritized for experimental validation"
NPM3,1,"2018","Columbia-Rush","ROSMAP","Genetics, RNA",Tbio,"13: Unknown: There is no information on ligands or structure in any of the categories above.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","4: Limited evidence that target is a secreted protein, ECM component or cell membrane-bound protein.","not prioritized for experimental validation"
NR1H2,1,"2018","Duke","ADNI","Genetics, Metabolome",Tchem,"1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","6: Protein located in intracellular compartment.","validation studies planned"
NR1H3,1,"2018","Duke","ADNI","Genetics, Metabolome",Tchem,"1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","5: Clinical data with evidence of intolerable safety profile/adverse drug reactions in the desired modality and with target engagement. Drug for target withdrawn on those grounds.","4: Limited evidence that target is a secreted protein, ECM component or cell membrane-bound protein.","validation studies planned"
NR1H4,1,"2018","Duke","ADNI","Genetics, Metabolome",Tclin,"1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","1: Clinical data, evidence of tolerable safety profile in desired modality; target has a drug in phase IV in the appropriate modality, with good safety profile.","4: Limited evidence that target is a secreted protein, ECM component or cell membrane-bound protein.","validation studies planned"
NR3C1,1,"2018","Mayo-UFL-ISB","Mayo","RNA",Tclin,"1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","5: Clinical data with evidence of intolerable safety profile/adverse drug reactions in the desired modality and with target engagement. Drug for target withdrawn on those grounds.","4: Limited evidence that target is a secreted protein, ECM component or cell membrane-bound protein.","not prioritized for experimental validation"
NR5A2,1,"2018","Duke","ADNI","Genetics, Metabolome",Tchem,"1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","4: Limited evidence that target is a secreted protein, ECM component or cell membrane-bound protein.","not prioritized for experimental validation"
NRG1,1,"2018","Mayo-UFL-ISB","Mayo","RNA",Tbio,"7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","1: Secreted protein. Highly accessible to antibody-based therapies.","not prioritized for experimental validation"
